school_distances_m,hospital_distances_m,transit_distances_m,competitor_distances_m,Outlet_ID
"[1764.9, 1401.6, 216.6, 1483.8, 1216.6, 523.0, 665.1, 946.9, 1808.6, 1482.5, 1579.2, 1743.7, 1724.7, 1458.4, 1946.2, 1859.5]","[778.0, 776.0, 818.4, 1743.3, 1772.4]",[],"[1717.6, 530.0, 1377.5, 1607.5, 1799.4, 1813.6, 1710.9, 1759.6, 1664.8, 1684.2, 1434.0, 1704.8]",OUT_00179
"[1437.6, 1788.5]",[],"[1327.4, 1254.0, 1180.0]","[1298.8, 1710.6, 1294.8, 1335.9, 1948.4, 1885.6, 1640.4, 1728.2, 1683.1]",OUT_00180
[],[],[],[],OUT_00181
[],[],[],[],OUT_00182
[],[],[],[],OUT_00183
[1754.9],[],"[1491.9, 1019.2]","[1533.8, 1453.4, 1136.4, 1883.0, 2000.1]",OUT_00184
[1750.1],[],[1718.0],"[1127.9, 1952.1]",OUT_00185
"[1723.3, 1861.9]",[],[],"[1734.8, 1578.0]",OUT_00186
[1813.3],[1984.9],[],[],OUT_00187
[655.7],[],"[892.0, 221.5]",[612.0],OUT_00188
[],[],[],[],OUT_00189
"[258.3, 1739.3, 1586.0, 416.9, 1493.7, 1455.4, 306.7, 902.7, 816.2]","[485.4, 476.4, 521.5]","[1402.4, 927.4, 351.9, 688.2, 1709.3, 1080.9, 2000.6, 1672.1, 1123.8, 625.8, 455.4, 374.7, 335.3, 991.0, 905.2, 1558.7, 1186.9, 1432.5, 1295.4, 795.1, 309.9]","[1949.2, 1310.6, 924.0, 707.7, 361.5, 792.1, 820.3]",OUT_00190
[],[],[1597.8],[],OUT_00191
[],[],[],[],OUT_00192
[],[],[],[],OUT_00193
"[1793.6, 1591.2]",[],[],[],OUT_00194
[1155.4],[],[],[],OUT_00195
"[1758.2, 1583.3, 1917.4, 1625.1, 1552.9, 1855.2, 1519.6, 761.3, 298.1, 774.2, 1878.3, 1711.3, 835.8, 1719.5, 257.6, 1456.8, 1907.2, 1971.1, 1908.2, 1647.1, 853.2, 1880.2, 1405.9, 1575.3, 1152.5, 1751.5, 1527.0, 1510.4, 1899.3, 1409.3, 1535.9, 1834.7, 741.4]","[760.8, 1899.7, 1759.9, 1706.7, 1296.5, 1718.1, 858.4, 368.2, 1333.7]","[1103.5, 1870.6, 1828.9, 1888.8, 1963.1, 1938.3, 1925.8, 1940.6, 1804.5, 1833.9, 1819.0, 1679.2, 1688.2, 1887.6, 1714.2, 1301.1, 1988.4, 1992.4, 2001.4, 1955.4, 1952.3, 1901.4, 1906.9, 1910.2, 1932.1, 1925.4, 1919.1, 1122.5, 1119.7, 1836.9, 1473.1, 1321.4, 1431.5, 1781.6, 1196.9, 1340.6, 1882.6, 1862.3, 1886.2, 1889.9, 1392.5, 1242.1, 1512.9, 1057.1, 1690.6, 1162.8, 707.0, 346.3]","[456.3, 1920.6, 1888.4, 1679.9, 746.8, 1890.6, 1813.2, 555.5, 1884.5, 1916.5, 1210.6, 1516.9, 1881.2, 1987.2, 1948.8, 1720.2, 515.9, 1159.9, 1111.2, 1092.5]",OUT_00196
[],[],[],[],OUT_00197
[],[],[],[],OUT_00198
[],[1699.1],[1740.9],"[1598.2, 1881.2, 1829.6, 1726.5]",OUT_00199
[],[],[1838.6],[],OUT_00200
[],[],[1145.2],[],OUT_00201
"[1742.2, 1379.9, 951.1, 1819.5]",[1231.6],"[608.5, 1557.6, 1681.5, 1753.3, 1324.8, 585.3, 400.1, 1689.1, 1680.8, 1049.0, 1279.6, 1282.9, 1027.4, 803.9, 793.1, 1076.5, 1109.6, 808.0, 772.5, 1398.6, 1421.2, 1423.7, 1690.2, 1700.1, 1830.2, 1854.8, 1316.8, 1296.5, 1329.6, 1324.1, 1926.4, 1483.2, 1323.9]","[1857.7, 637.3, 1600.6, 1223.8, 1713.2, 946.5, 1411.5, 1733.7, 921.3, 1981.7, 1307.0, 1257.3, 1305.8, 1292.3, 1202.3, 1868.5, 1065.5]",OUT_00202
[],[],[],[],OUT_00203
[],[],[],[],OUT_00204
[],[],"[1944.5, 1443.4, 1747.1, 1755.9, 1627.6]",[],OUT_00205
[],[],[],[],OUT_00206
[1614.7],[],[],[],OUT_00207
"[1836.1, 343.8]",[1806.3],[844.0],"[1316.9, 789.6, 780.3, 1488.1, 800.0, 1133.8, 839.7]",OUT_00208
[],[],[],"[1766.0, 1899.9, 1932.5]",OUT_00209
"[1131.2, 1708.9, 1640.2, 1929.5, 1630.4]","[719.9, 1272.4, 1902.2, 1476.2, 1574.4, 1197.4]",[],"[1584.0, 1532.7, 1751.0, 1757.3, 1182.2, 1751.3, 1665.0, 1244.4, 125.5, 939.5, 1585.4]",OUT_00210
[],[],[],[],OUT_00211
[1769.7],[1606.7],"[1263.1, 1939.5, 1819.7, 1968.6, 1697.2, 1951.6, 1846.6, 1771.1, 855.9]",[],OUT_00212
[],[],[],[],OUT_00213
"[1462.6, 1718.4, 1184.3, 1367.5, 414.0]",[],"[1590.7, 1732.0, 1638.1]","[1630.5, 1730.7, 766.8, 847.7, 1315.1, 1650.9, 1677.8, 868.9, 620.6]",OUT_00214
[986.1],[],[],[],OUT_00215
[],[],[],[],OUT_00216
[],[],[],[],OUT_00217
[],[],[],[],OUT_00218
"[1997.4, 1858.0, 1641.9, 1268.6]",[1546.2],[1966.4],"[1482.8, 1973.8, 1952.2]",OUT_00219
[1779.0],[],[],[],OUT_00220
[],[],[],[],OUT_00221
"[1827.9, 534.2, 1027.9]",[],[],"[720.5, 527.5, 267.2, 750.9, 488.3]",OUT_00222
[],[],[1027.5],[],OUT_00223
"[1997.8, 1967.8]",[990.6],"[979.5, 1002.7, 1304.1, 1070.1, 1426.8, 1793.4, 1695.2, 704.0, 1788.6]","[1930.8, 777.1, 1996.1, 1972.5, 1942.6, 1908.2, 1786.3]",OUT_00224
"[1473.5, 1745.4, 1945.8, 1797.6, 1528.4]",[],"[1716.4, 1880.0, 1538.2, 1892.1]",[1975.4],OUT_00225
[],[1977.5],"[1972.2, 1899.6, 1914.7]",[],OUT_00226
[1525.3],[],[],[],OUT_00227
[],[],[],[],OUT_00228
"[1841.2, 1674.7]",[],[],[],OUT_00229
[],[],[],[],OUT_00230
"[1970.2, 1625.2, 1489.8, 1436.1]",[1877.0],[1547.8],"[1569.9, 1445.7]",OUT_00231
"[1107.8, 1303.9, 1452.5, 1863.6]",[],"[1594.4, 1297.1, 1289.1, 1228.8]","[1640.7, 1931.1, 1374.2, 1147.8, 1584.5, 921.3, 1305.2, 1707.9, 1210.9]",OUT_00232
[1460.2],[],"[1812.0, 1988.6, 1877.7]",[641.3],OUT_00233
"[1913.7, 1726.7]",[1880.8],[],[],OUT_00234
[1834.2],[],[],[1127.9],OUT_00235
"[1648.3, 670.9, 1107.6, 1314.2, 1311.9, 1403.4]",[],"[1572.1, 1094.0, 991.0, 741.1, 707.5, 971.6, 1909.5]","[1176.0, 1608.0, 1726.8]",OUT_00236
[],[],"[281.4, 978.4, 964.8, 496.9, 1639.2, 1960.3, 1948.6]","[1817.2, 318.4]",OUT_00237
[],[],[],[],OUT_00238
[],[],[],[],OUT_00239
"[551.2, 1045.9]",[],"[714.2, 1836.6]","[743.6, 978.5, 1546.4, 1234.2, 752.0, 1212.6, 635.6, 670.3, 834.7, 1837.9, 639.5]",OUT_00240
[1952.7],[],[1691.9],[],OUT_00241
"[1880.2, 1092.8, 1633.2, 1523.4, 1339.7, 1890.5, 1312.1, 928.8, 1383.1]",[1410.0],[626.7],"[1463.0, 1800.1, 1270.7, 793.9, 1230.9, 814.7, 1358.7, 1341.1, 1302.2, 684.6, 1372.9, 1788.1]",OUT_00242
[],[],[],[],OUT_00243
"[1803.5, 1728.8]",[],[],"[1556.5, 1553.3]",OUT_00244
[],[],[],[],OUT_00245
"[1752.0, 1002.2, 1411.0, 1404.6, 1315.1, 1996.5, 1402.7, 211.2, 1757.3, 1833.8, 1639.8, 1517.3, 357.3, 1801.3, 1806.1, 1204.0, 1844.1, 1804.5, 1369.0, 1509.9, 1328.4, 1396.6, 1315.7, 1397.2, 754.8, 1737.6, 669.9, 1646.1]","[1721.2, 997.6, 1277.9, 1098.1, 781.7]","[1461.7, 936.8, 673.4, 787.4, 1643.3, 1560.1, 1852.6, 1448.5, 1365.8, 1810.8, 957.8, 1977.6, 962.9, 1726.3, 418.9, 306.9, 1051.9, 1829.0, 1412.5, 1975.1, 569.0, 895.1, 1217.4, 1445.6, 936.8, 902.1, 1732.3, 1609.2, 1619.5, 1731.5, 782.4, 552.9, 479.3, 975.1, 953.2, 930.0, 828.7, 676.6, 1376.1, 1789.3, 1157.7, 1126.4, 1655.1, 1322.1, 1539.5, 1552.2, 641.3, 149.5, 322.7, 672.2, 992.8, 1111.5, 1188.0, 1144.5, 941.9, 895.2, 540.0, 298.1, 579.6, 1620.0, 1778.3, 1620.5, 1632.1, 1005.7, 1872.8, 907.4, 1133.3]","[960.2, 895.7, 1556.0, 830.6, 1128.4, 1205.3, 1575.0, 1179.6, 1888.2, 925.7, 1711.8, 1515.5, 1027.3, 1760.8, 1163.8, 837.3, 1987.8, 1192.3, 1435.7, 1609.5, 961.2, 1524.4, 1514.2, 1523.6, 1159.3, 524.4, 1201.7, 37.5, 1665.9, 1788.9, 1837.7]",OUT_00246
"[715.8, 773.4]",[655.3],[],"[1621.2, 1420.9, 1000.5, 542.0, 518.8, 584.8]",OUT_00247
[],[1375.5],[],[1920.7],OUT_00248
[],[],[],[],OUT_00249
"[1325.9, 1985.1]",[],"[1198.4, 1953.7, 1237.6, 1310.3, 883.7]","[1984.6, 1822.9, 991.2, 491.1]",OUT_00250
"[1819.8, 1461.3, 1245.7, 1399.1, 1701.7]","[1378.8, 1259.4, 1649.5]","[1282.3, 1948.3, 1299.2, 837.4, 1110.9, 1316.9, 1689.5]","[1562.6, 1131.0, 1428.8, 1873.4, 1014.5, 1173.3, 771.5, 1409.5]",OUT_00251
[],[],[],[],OUT_00252
[],[],[],[],OUT_00253
"[1697.4, 649.7, 791.9]",[],[2000.7],"[420.0, 1170.3, 346.2, 1847.4, 1237.4, 921.8, 383.6, 1157.4, 1134.1, 1782.8, 929.5]",OUT_00254
"[1789.4, 654.0, 991.9]","[1341.0, 887.7]","[1846.8, 1615.6, 1798.8, 1995.2, 1914.6, 1818.5, 1440.8, 1403.0, 1017.7, 1122.0, 1169.3, 999.8, 1139.2, 1098.6, 683.4, 643.1, 929.8, 965.9, 1055.3, 1050.7, 1072.2, 955.7, 989.6, 891.5, 925.1, 1476.0, 1287.5, 1438.0, 1253.9, 832.2, 864.6, 1594.3, 1616.2, 1827.8, 1251.9, 1233.9, 1193.0, 1495.9, 756.3, 630.6, 1541.8, 1905.8]","[1517.3, 1805.2, 1882.3, 1833.7, 1045.2, 1758.5, 1469.0, 422.1, 1452.3, 1339.9, 923.2]",OUT_00255
"[1160.9, 1910.8]",[1334.9],[],"[1674.6, 1731.0]",OUT_00256
"[1524.2, 1834.9, 922.9, 1860.3, 1190.2]",[],[1756.9],[1723.3],OUT_00257
[],[],"[1740.4, 1999.8]",[],OUT_00258
"[1690.7, 1871.2]",[],[],"[1835.7, 1753.0]",OUT_00259
[1695.7],[1433.4],[],[],OUT_00260
[1857.1],[],[],[],OUT_00261
"[1108.5, 695.0, 809.7, 1519.6, 1835.4, 1921.3, 1799.1, 807.2, 1203.9, 1996.1, 364.7, 1117.3, 1285.3, 1632.3, 1536.6, 1416.2, 1477.8, 1541.6, 1828.0, 1249.8, 1524.1, 1255.1, 1470.5, 1355.1, 1338.2, 1691.1, 1301.3, 947.0, 1646.0, 1612.0, 689.6, 727.1, 618.2, 576.8, 693.4, 299.3, 590.3, 560.2, 1677.0]","[1291.5, 775.5, 1367.4, 1726.5]","[595.2, 1501.1, 782.5, 500.0, 344.6, 1411.0, 235.4, 744.5, 961.8, 520.5, 504.8, 1313.1, 1296.5, 483.5, 783.1, 1163.0, 1593.9, 1960.1, 1976.8, 1768.1, 1747.1, 1750.0, 1634.3, 1612.0, 1374.3, 1290.4, 1241.3, 1073.0, 1084.0, 750.3, 736.2, 490.9, 830.6, 1084.5, 1053.3, 1457.2, 1789.4]","[877.2, 762.9, 799.4, 1526.1, 1425.0, 1298.2, 1870.6, 1916.4, 1878.9, 507.1, 644.3, 661.4, 1591.0, 1269.5, 615.6, 497.3, 774.6, 1772.5, 1466.0, 990.6, 445.1, 455.6, 620.7, 1525.1, 1976.1, 1765.7, 1685.5, 531.9, 1868.7, 813.0, 434.0, 578.8, 300.5, 631.3, 1377.3, 686.1, 498.6, 1140.4]",OUT_00262
[1545.1],[1208.4],[],[],OUT_00263
[1703.5],[],[],[],OUT_00264
[1346.8],[],"[1998.3, 1149.4]",[1781.5],OUT_00265
"[1557.3, 1503.6, 383.2]",[],[],"[717.7, 711.8, 1236.9, 2001.3, 724.0, 628.1, 1942.0]",OUT_00266
[],[],[481.0],[],OUT_00267
[],[],[],[],OUT_00268
"[1314.7, 1176.1, 1716.8, 811.6]","[1880.2, 1241.6]",[],"[680.3, 717.4, 1533.5, 1863.3, 1345.3]",OUT_00269
[],[],[],[],OUT_00270
[],[],[],[1872.7],OUT_00271
[],[],[],[],OUT_00272
[],[],[],[],OUT_00273
"[1865.3, 1910.4]",[],"[1129.0, 1295.2, 1782.3, 1692.2]",[1620.5],OUT_00274
"[1855.6, 1117.5, 1763.3]",[1847.5],[],[],OUT_00275
[887.3],[615.9],"[1457.8, 734.2, 694.0, 1542.4, 1094.4, 886.9, 1794.2, 1779.9, 1835.4, 705.9, 887.5, 969.7, 986.8, 1874.5, 899.4, 1402.6, 1171.9, 1970.4, 1732.4, 1547.8, 973.6, 608.7, 1805.3, 986.3]",[],OUT_00276
[],[],[1256.5],[],OUT_00277
[],[],"[1920.4, 1894.1, 1974.8]",[],OUT_00278
[],[],[],[],OUT_00279
"[1301.5, 1952.4, 1687.5, 1481.4, 1124.7, 831.0, 729.9, 1121.1]","[1878.5, 821.8]","[1539.7, 1895.0, 1950.7, 1459.9, 1280.5, 1089.1, 1214.6, 1322.7, 1571.1, 1880.8]","[1361.6, 683.7, 1363.3, 745.2, 1269.5, 1361.6, 1076.1, 1228.2]",OUT_00280
"[1682.0, 1445.7]",[1874.7],"[1819.6, 1743.6, 1784.7, 1899.1, 1935.5, 1656.4]","[1580.2, 1617.1, 1683.9, 1737.0, 1838.1]",OUT_00281
[],[],[],[],OUT_00282
"[701.8, 1627.9, 1462.0, 1613.6]",[],[],"[1758.3, 622.0, 568.1, 1012.5, 1357.5, 1370.7]",OUT_00283
"[1007.5, 1148.8]",[],"[1976.6, 1945.3, 1448.1, 1346.3, 213.0, 900.3, 1058.0, 1091.0, 479.1, 541.8, 1724.2, 1828.9, 568.5, 1892.5, 1940.9, 394.8, 1048.0, 1364.5, 1432.5, 891.9, 835.6, 1105.9, 422.7, 654.6]","[1219.0, 1400.3, 1216.5, 1418.7, 1453.3, 415.6, 1216.2, 1832.7]",OUT_00284
[],[],[1233.3],"[1690.3, 1694.7]",OUT_00285
[732.9],[],[],[],OUT_00286
"[1360.7, 1868.6]",[],"[1988.5, 1954.0, 1932.4, 1908.7, 1869.6, 1970.1]",[],OUT_00287
[],[],[],[],OUT_00288
[],[],[],[],OUT_00289
"[1958.0, 1821.8]",[],[1778.8],[],OUT_00290
"[1127.9, 1912.6, 672.4, 1937.0]",[1796.5],"[1788.2, 1831.1, 1777.5, 1806.4, 1866.3, 1510.5, 1498.2, 1880.5, 1908.4, 1118.0, 1094.9, 1100.2, 799.3, 797.2, 647.8, 624.3, 1442.4, 1323.6, 1401.6, 1279.5, 469.1, 431.5, 1249.6, 1226.2, 1885.9, 1917.7, 225.3, 700.7, 1027.9, 1440.5, 1857.1]","[1873.5, 1902.7, 1810.8, 1713.2, 1813.6, 1981.9, 1380.3, 1564.7, 1431.4, 1361.0, 610.2, 1266.5]",OUT_00291
"[1768.8, 1829.2, 1733.1, 1842.5, 1867.3]","[1817.8, 1789.3, 1745.9]","[1774.4, 1870.3, 1757.3, 1720.3, 1736.8, 1669.8, 1700.0, 1923.5]","[1740.7, 1941.7, 1707.8, 1930.1, 1733.4, 1767.2, 1773.6]",OUT_00292
[],[],[],[],OUT_00293
"[1444.1, 1003.3]",[],[1691.1],"[1768.2, 1682.1, 1505.9, 1842.6, 1590.8, 1766.5]",OUT_00294
"[951.8, 734.6, 1806.7, 1800.5]",[965.2],"[1483.9, 1591.2, 1877.7, 1820.7]","[1658.8, 1551.6, 1423.0, 1382.1, 909.9, 1716.4]",OUT_00295
[],[],[],[],OUT_00296
[854.4],[],"[1867.4, 763.4, 1416.2, 1464.9, 1737.8]",[],OUT_00297
[1628.2],[],[],[556.6],OUT_00298
[1390.7],[],"[1102.5, 1777.9, 1292.9, 885.2, 1828.8]","[1007.9, 1140.6]",OUT_00299
[1898.5],[],"[1642.7, 1839.3]","[1659.4, 1606.6, 1492.7, 1926.9]",OUT_00300
[1114.2],[],[],[],OUT_00301
[],[],[979.0],[1350.3],OUT_00302
"[299.5, 985.9, 1034.2, 889.2, 755.1, 616.7, 802.2, 285.2, 1992.3, 1988.8, 1946.9, 404.7, 820.3, 668.8, 840.6, 491.3, 315.4, 654.1, 339.1, 452.1, 389.9, 980.0, 948.5, 1993.5, 1476.5, 1178.3, 503.6, 286.3, 1937.4, 1792.4, 1292.4, 1366.7, 656.6, 1914.7, 1315.4, 317.7, 950.2, 1296.6, 887.2, 1647.2, 787.0, 440.8, 1479.4, 1894.2, 138.5, 1818.1, 727.2, 1014.0, 293.4, 1571.8, 1117.7, 558.8, 1129.4, 754.6, 1130.7, 964.5, 1351.6, 1159.1, 833.8, 780.4, 409.1, 1356.6, 1760.4, 1231.6]","[908.6, 1166.5, 517.2, 732.8, 571.3, 445.4, 771.8, 1630.7, 1910.9, 328.8, 1544.9, 968.6, 1900.9, 1561.3, 1421.3]","[1231.0, 1013.1, 1864.3, 1791.9, 1099.8, 1113.7, 1115.5, 965.8, 1116.8, 807.3, 1840.1, 1224.7, 1087.4, 1230.6, 1259.2, 1333.1, 1158.8, 1371.0, 977.9, 1300.2, 1210.4, 797.8, 1280.0, 1926.5, 1783.6, 1891.5, 1990.0, 1263.9, 1348.6, 1986.5, 1727.9, 722.9, 1981.2, 1868.7, 1219.2, 926.2, 1022.2, 1061.1, 1879.4, 1993.5, 957.4, 1787.4, 1796.1, 1953.4, 1888.8, 1994.4, 1222.6, 1427.7, 1899.6, 1925.3, 1695.3, 1593.9, 1983.1, 1147.9, 768.4, 781.3, 1639.9, 902.2, 1623.6, 1455.5, 1389.9, 664.1, 652.0, 1981.5]","[1764.7, 1716.4, 1879.1, 1342.2, 1384.7, 1588.0, 943.8, 627.0, 1964.3, 1230.1, 1885.6, 1293.5, 1220.7, 692.0, 485.0, 1444.7, 1605.9, 1811.2, 1380.8, 1079.3, 1103.4, 1929.7, 903.3, 1482.4]",OUT_00303
[1886.0],[],[],[],OUT_00304
[],[],[],[],OUT_00305
[],[],[],[],OUT_00306
[593.7],[],"[1290.9, 1401.6, 716.1]",[1537.0],OUT_00307
[],[],"[1013.2, 1440.3]",[],OUT_00308
[],[],[],[],OUT_00309
"[1812.6, 630.4, 181.0, 1867.6, 1568.4, 1955.7, 1988.7, 1925.1, 1493.3, 1915.3, 1937.4, 1915.3, 1630.5, 1895.8, 1110.3, 1949.5, 830.1, 1611.7, 1407.1, 1887.2, 1800.3, 1842.7, 1564.7, 784.3, 1838.6, 1964.6, 1931.3, 1377.9, 1314.1, 1990.7, 791.3, 1501.1, 491.4, 1462.6, 1572.4, 1547.4, 1867.2, 1885.4, 202.5, 1633.2, 1821.9, 1909.8, 1484.6, 1425.3, 1411.6, 652.3, 1435.9, 1423.8, 1660.8, 662.4, 1834.2, 1094.8, 1911.9, 848.7, 1681.9, 1816.3, 1924.9, 1736.1, 1518.4]","[1243.1, 1855.4, 1517.9, 1802.1]","[1752.8, 1700.5, 1966.4, 1568.6, 1538.8, 1265.4, 1265.8, 1314.1, 1477.5, 1403.8, 1567.8, 1545.7, 1665.2, 1304.7, 1749.1, 1386.0, 948.3, 1899.4, 1186.3, 1629.9, 1764.0, 1581.9, 1377.5, 1308.2, 1299.5, 1580.0, 1798.6, 1639.8, 1175.0, 663.2, 166.8, 1220.0, 1885.6, 1488.1, 1433.9, 1472.9]","[179.5, 1689.3, 1758.5, 1779.6, 1598.9, 1542.5, 1870.4, 1399.9, 204.8, 1867.6, 1455.7, 1594.1, 1991.0]",OUT_00310
[],[],[],[],OUT_00311
"[1911.5, 1651.1, 1946.0, 1885.8, 1492.3, 1948.5, 1585.7, 1784.3, 1466.6]",[1906.9],"[1730.4, 1536.0, 1959.1, 1964.4, 1815.1, 1683.6, 1683.8, 1710.2, 1860.4, 1560.9, 1764.0, 1646.2, 1461.5]","[1710.8, 1599.0, 1722.3, 1773.4, 1988.7, 1847.5, 1724.6, 1614.0, 1625.3, 1620.9, 1629.1, 1857.1, 1548.4]",OUT_00312
[623.8],[],[527.9],[1714.2],OUT_00313
[],[],[],[],OUT_00314
[],[],"[1544.5, 1170.8, 1631.4, 1150.6, 1824.1, 1768.6, 1863.7, 1138.6, 1435.0, 1868.8, 1038.6, 1542.4, 1302.2, 1359.8, 1482.2, 1446.6, 1123.7, 1548.9, 1430.8, 1521.5, 858.1, 1545.3]","[1863.0, 1912.8, 1956.7]",OUT_00315
[],[],"[1829.5, 1893.1, 1174.3, 735.7, 1470.4, 1798.8, 885.7, 1075.1, 1501.6, 1570.2, 1916.4, 895.5, 1917.8, 1690.5, 1666.4, 1843.5]",[],OUT_00316
[],[],[],[1072.9],OUT_00317
[1655.2],[],[1599.2],[],OUT_00318
"[1624.4, 1605.3, 1425.2]",[1947.3],[],"[1905.8, 1951.7, 1900.8, 1880.1, 999.6]",OUT_00319
"[1266.5, 1421.7]",[],"[1344.1, 1313.8]","[1350.2, 1230.9]",OUT_00320
[630.9],[],[1695.2],"[1769.1, 1596.1, 870.5, 1796.5, 1738.2, 1592.3]",OUT_00321
[1462.4],[],[],[509.7],OUT_00322
"[1668.0, 840.6, 1457.8, 842.3, 1099.7]","[1777.7, 1082.2, 1905.9, 1513.8]","[1948.6, 1801.7, 970.3, 814.6, 756.6, 892.5, 984.9, 1552.9]","[1478.4, 901.7, 1837.0, 1872.4, 1232.1, 1666.3, 601.6, 524.8, 1635.4, 1361.5, 1427.5, 872.2, 721.9]",OUT_00323
[],[],[],[1707.7],OUT_00324
[],[],[],[],OUT_00325
"[764.6, 1584.2, 1625.0, 1224.9]",[],[],"[1402.6, 1826.8, 1409.6, 1987.7, 1832.7, 1925.1]",OUT_00326
[],[],[1751.9],[1602.2],OUT_00327
"[443.2, 1627.1, 1866.3, 1303.0, 905.9, 1528.0, 992.6, 717.3, 1445.5, 965.5]","[878.6, 1589.8]","[500.8, 1768.8, 1519.0, 1014.0, 758.9, 403.3, 619.5, 1148.7, 1647.0, 1842.6]","[1851.2, 1637.9, 1598.3, 1051.9, 1559.8, 1202.4, 832.9, 807.4, 956.6, 878.6, 1022.9, 1015.3, 1571.5]",OUT_00328
[],[],[],[1537.8],OUT_00329
[],[],"[1261.1, 1969.6, 1915.7, 1390.6, 1611.3, 1818.9, 1454.0, 1791.6]",[],OUT_00330
[1584.5],[],[],"[1658.9, 1952.6, 1616.2, 1891.6, 1843.9, 1544.6, 1559.7, 1669.6, 1682.1]",OUT_00331
"[1377.9, 1129.0, 695.9]",[1265.2],"[932.2, 1017.3, 922.4]","[988.5, 745.0, 956.4, 796.3]",OUT_00332
"[1627.1, 1102.8, 1184.4, 1917.6, 1773.4, 1736.7, 1846.4, 1405.3, 1413.5, 1883.6, 1982.4, 1016.3, 1489.9, 1831.4, 1580.8, 953.8, 1430.7, 1399.9, 1789.7, 1841.5, 1743.1, 1338.8, 1016.4, 1530.1, 970.5, 886.1, 669.4, 1719.8, 1306.2]","[1685.7, 843.4]","[1954.5, 1515.0, 1421.3, 1895.2, 1261.2, 990.3, 833.1, 1690.1, 1298.1, 826.7, 1943.9, 899.3, 1989.5, 1563.4, 1347.2, 1150.1, 1464.2, 1704.9, 1658.6, 1663.7, 1351.3, 1392.7, 1655.6, 1888.3, 1326.7, 1975.3, 1660.3, 1855.7, 1877.2]","[1484.9, 1054.1, 1150.1, 1090.1, 1493.8, 1409.4, 1867.0, 1108.5, 1222.3, 1113.6, 1958.2, 1461.5, 1474.4, 1465.1, 1439.1, 1776.7, 1073.3, 907.7, 1067.6, 1426.6, 1659.6, 1026.3, 1076.4, 1666.4, 1220.0]",OUT_00333
"[1991.8, 1417.2]",[],[],[],OUT_00334
"[1723.6, 731.6, 843.0]",[],[],"[595.9, 405.8, 465.0, 626.2, 334.9]",OUT_00335
"[1376.3, 1355.0]",[],[],"[1214.3, 1324.2, 1838.1, 1264.1, 1540.7, 1966.8, 222.8, 1885.8, 1325.2, 1547.6, 208.0, 1151.8, 911.6, 841.1, 796.8, 548.1, 614.6, 924.4, 1012.6, 1083.8, 1141.5, 678.2, 447.5, 1330.2]",OUT_00336
"[1490.0, 1141.7, 778.6, 1688.5, 1981.4, 1512.8, 375.6, 765.3, 1639.9, 1382.4, 1103.6, 1519.5]","[1898.7, 565.2, 1311.0, 379.7, 345.2, 1391.6, 1558.9, 1277.0]","[1582.5, 1184.3, 945.2, 504.4, 1274.0, 1443.6, 1904.5, 1752.0, 1972.9, 1740.5]","[1153.3, 1508.4, 1083.7, 662.0, 523.2, 957.1, 1714.9, 1323.3, 158.1, 189.0, 1124.7, 1240.4, 1164.4, 704.9, 1185.6, 1126.9, 1743.7, 1096.2, 1137.9, 1132.0, 1591.2, 1409.9, 521.6, 1853.8, 1858.0, 1908.2, 1949.8, 1730.7, 1645.4, 1571.8, 1513.9, 1976.9, 1337.4]",OUT_00337
"[1684.4, 1901.7]",[],[1991.1],[],OUT_00338
[1747.9],[934.2],[],[1605.2],OUT_00339
[],[],[],[],OUT_00340
[],[],[],[],OUT_00341
[1961.0],[],"[1681.8, 1566.5, 1735.4]","[1617.7, 1602.8]",OUT_00342
[996.1],[],[],[432.0],OUT_00343
"[552.5, 1014.5, 856.7]",[],[],"[1589.5, 1122.2, 592.3, 1001.3, 481.1, 770.7, 1826.4, 811.9]",OUT_00344
[],[1663.2],[],[],OUT_00345
[],[],[],[],OUT_00346
"[1418.0, 1767.7, 725.4]",[1664.7],[],[],OUT_00347
[],[],[],[],OUT_00348
[],[],[],[],OUT_00349
[],[],[],[],OUT_00350
[],[],[1235.4],[],OUT_00351
"[1063.3, 1810.9]",[],[],"[1680.6, 1492.5, 998.2, 1710.5, 1550.5, 1412.9]",OUT_00352
[1444.9],[],"[1274.8, 483.4, 1990.4, 1988.3]",[],OUT_00353
"[1823.9, 1651.2, 1818.1, 811.5]",[],"[1823.8, 1968.8, 1870.7]","[1874.0, 1191.8, 1250.4, 1677.8, 1775.2, 1799.4, 1284.8, 1102.7]",OUT_00354
[],[],[],[],OUT_00355
"[1185.5, 1426.7, 1972.0, 653.8]","[1766.9, 1115.2]",[],"[514.7, 538.7, 1376.0, 1958.3, 1861.5, 1592.4]",OUT_00356
[],[],[],[],OUT_00357
